"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 10:59:04 GMT 2024","Mon Apr 22 10:59:04 GMT 2024","81","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"passed","Mon Apr 22 10:59:22 GMT 2024","Mon Apr 22 10:59:27 GMT 2024","4902","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Mon Apr 22 10:59:05 GMT 2024","Mon Apr 22 10:59:05 GMT 2024","66","","API tests","","ProjectTest","GetProjectByIncorrectCode","GetProjectByIncorrectCode","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Mon Apr 22 10:59:05 GMT 2024","Mon Apr 22 10:59:05 GMT 2024","54","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Mon Apr 22 10:59:05 GMT 2024","Mon Apr 22 10:59:05 GMT 2024","71","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Mon Apr 22 10:59:49 GMT 2024","Mon Apr 22 10:59:53 GMT 2024","4093","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Mon Apr 22 10:59:04 GMT 2024","Mon Apr 22 10:59:04 GMT 2024","60","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"passed","Mon Apr 22 10:59:05 GMT 2024","Mon Apr 22 10:59:22 GMT 2024","17558","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"failed","Mon Apr 22 10:59:53 GMT 2024","Mon Apr 22 10:59:55 GMT 2024","2202","","","","LoginTest","IncorrectLoginTest","IncorrectLoginTest","Тест на проверку всплывающего окна при неправильном логине
"
"passed","Mon Apr 22 10:59:04 GMT 2024","Mon Apr 22 10:59:04 GMT 2024","530","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Mon Apr 22 10:59:45 GMT 2024","Mon Apr 22 10:59:49 GMT 2024","3981","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Mon Apr 22 10:59:04 GMT 2024","Mon Apr 22 10:59:05 GMT 2024","151","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Mon Apr 22 10:59:39 GMT 2024","Mon Apr 22 10:59:45 GMT 2024","5986","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
"passed","Mon Apr 22 10:59:27 GMT 2024","Mon Apr 22 10:59:32 GMT 2024","5150","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Mon Apr 22 10:59:32 GMT 2024","Mon Apr 22 10:59:39 GMT 2024","6401","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
