"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 01:46:37 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","725","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","74","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"failed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:51 GMT 2024","12856","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","66","","API tests","","ProjectTest","GetProjectFromJSONTest","GetProjectFromJSONTest","Тест на получение данных о проекте по коду проекта из JSON файла
"
"failed","Tue Apr 23 01:46:51 GMT 2024","Tue Apr 23 01:46:52 GMT 2024","192","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","61","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"failed","Tue Apr 23 01:46:52 GMT 2024","Tue Apr 23 01:46:52 GMT 2024","204","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"failed","Tue Apr 23 01:46:52 GMT 2024","Tue Apr 23 01:46:52 GMT 2024","226","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"failed","Tue Apr 23 01:46:52 GMT 2024","Tue Apr 23 01:46:53 GMT 2024","210","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","118","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"failed","Tue Apr 23 01:46:51 GMT 2024","Tue Apr 23 01:46:51 GMT 2024","206","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"failed","Tue Apr 23 01:46:53 GMT 2024","Tue Apr 23 01:46:53 GMT 2024","198","","","","LoginTest","IncorrectLoginFailureTest","IncorrectLoginFailureTest","Тест воспроизводящий любой дефект
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","64","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","124","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Tue Apr 23 01:46:38 GMT 2024","Tue Apr 23 01:46:38 GMT 2024","62","","API tests","","ProjectTest","GetProjectByIncorrectCodeTest","GetProjectByIncorrectCodeTest","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"failed","Tue Apr 23 01:46:52 GMT 2024","Tue Apr 23 01:46:52 GMT 2024","203","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
