"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 23 06:56:07 GMT 2024","Tue Apr 23 06:56:19 GMT 2024","11862","","","","LoginTest","IncorrectLoginFailureTest","IncorrectLoginFailureTest","Тест воспроизводящий любой дефект
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","213","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:31 GMT 2024","7871","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Tue Apr 23 06:55:22 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","130","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"passed","Tue Apr 23 06:55:22 GMT 2024","Tue Apr 23 06:55:22 GMT 2024","798","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Tue Apr 23 06:55:57 GMT 2024","Tue Apr 23 06:56:02 GMT 2024","5533","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Tue Apr 23 06:56:02 GMT 2024","Tue Apr 23 06:56:07 GMT 2024","4850","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Tue Apr 23 06:55:22 GMT 2024","Tue Apr 23 06:55:22 GMT 2024","125","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"passed","Tue Apr 23 06:55:37 GMT 2024","Tue Apr 23 06:55:43 GMT 2024","5834","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","101","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","106","","API tests","","ProjectTest","GetProjectByIncorrectCodeTest","GetProjectByIncorrectCodeTest","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","113","","API tests","","ProjectTest","GetProjectFromJSONTest","GetProjectFromJSONTest","Тест на получение данных о проекте по коду проекта из JSON файла
"
"passed","Tue Apr 23 06:55:31 GMT 2024","Tue Apr 23 06:55:37 GMT 2024","6050","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Tue Apr 23 06:55:23 GMT 2024","Tue Apr 23 06:55:23 GMT 2024","107","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Tue Apr 23 06:55:43 GMT 2024","Tue Apr 23 06:55:50 GMT 2024","6794","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Tue Apr 23 06:55:50 GMT 2024","Tue Apr 23 06:55:57 GMT 2024","7120","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
