"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","79","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","88","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"failed","Tue Apr 23 11:29:35 GMT 2024","Tue Apr 23 11:29:46 GMT 2024","11661","","","","LoginTest","IncorrectLoginFailureTest","IncorrectLoginFailureTest","Тест воспроизводящий любой дефект
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","67","","API tests","","ProjectTest","GetProjectByIncorrectCodeTest","GetProjectByIncorrectCodeTest","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","65","","API tests","","ProjectTest","GetProjectFromJSONTest","GetProjectFromJSONTest","Тест на получение данных о проекте по коду проекта из JSON файла
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:29:03 GMT 2024","8427","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Tue Apr 23 11:29:13 GMT 2024","Tue Apr 23 11:29:20 GMT 2024","6055","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Tue Apr 23 11:29:08 GMT 2024","Tue Apr 23 11:29:13 GMT 2024","5267","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Tue Apr 23 11:29:26 GMT 2024","Tue Apr 23 11:29:30 GMT 2024","4418","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","63","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Tue Apr 23 11:29:20 GMT 2024","Tue Apr 23 11:29:26 GMT 2024","6289","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
"passed","Tue Apr 23 11:29:30 GMT 2024","Tue Apr 23 11:29:35 GMT 2024","4348","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Tue Apr 23 11:28:53 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","619","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","145","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Tue Apr 23 11:29:03 GMT 2024","Tue Apr 23 11:29:08 GMT 2024","5527","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Tue Apr 23 11:28:54 GMT 2024","Tue Apr 23 11:28:54 GMT 2024","59","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
