"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 07:50:24 GMT 2024","Mon Apr 22 07:50:30 GMT 2024","5628","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Mon Apr 22 07:50:36 GMT 2024","Mon Apr 22 07:50:43 GMT 2024","6734","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","Тест на отображении подсказки при наведении курсора
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","95","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:50:18 GMT 2024","19254","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Mon Apr 22 07:49:58 GMT 2024","Mon Apr 22 07:49:58 GMT 2024","755","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","95","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Mon Apr 22 07:50:43 GMT 2024","Mon Apr 22 07:50:47 GMT 2024","4049","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","65","","API tests","","ProjectTest","GetProjectByIncorrectCode","GetProjectByIncorrectCode","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Mon Apr 22 07:50:18 GMT 2024","Mon Apr 22 07:50:24 GMT 2024","5558","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","73","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Mon Apr 22 07:50:47 GMT 2024","Mon Apr 22 07:50:51 GMT 2024","4276","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Mon Apr 22 07:49:59 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","186","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Mon Apr 22 07:50:30 GMT 2024","Mon Apr 22 07:50:36 GMT 2024","6615","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Mon Apr 22 07:49:58 GMT 2024","Mon Apr 22 07:49:59 GMT 2024","91","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
