"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 02:42:02 GMT 2024","Tue Apr 23 02:42:02 GMT 2024","105","","API tests","","ProjectTest","GetProjectByIncorrectCodeTest","GetProjectByIncorrectCodeTest","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Tue Apr 23 02:42:01 GMT 2024","Tue Apr 23 02:42:02 GMT 2024","121","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Tue Apr 23 02:42:02 GMT 2024","Tue Apr 23 02:42:11 GMT 2024","9569","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Tue Apr 23 02:42:31 GMT 2024","Tue Apr 23 02:42:38 GMT 2024","7008","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
"passed","Tue Apr 23 02:42:01 GMT 2024","Tue Apr 23 02:42:01 GMT 2024","131","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"failed","Tue Apr 23 02:42:47 GMT 2024","Tue Apr 23 02:42:59 GMT 2024","11912","","","","LoginTest","IncorrectLoginFailureTest","IncorrectLoginFailureTest","Тест воспроизводящий любой дефект
"
"passed","Tue Apr 23 02:42:00 GMT 2024","Tue Apr 23 02:42:01 GMT 2024","661","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Tue Apr 23 02:42:23 GMT 2024","Tue Apr 23 02:42:31 GMT 2024","7441","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Tue Apr 23 02:42:01 GMT 2024","Tue Apr 23 02:42:01 GMT 2024","262","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"passed","Tue Apr 23 02:42:11 GMT 2024","Tue Apr 23 02:42:17 GMT 2024","5840","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Tue Apr 23 02:42:01 GMT 2024","Tue Apr 23 02:42:01 GMT 2024","110","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Tue Apr 23 02:42:01 GMT 2024","Tue Apr 23 02:42:01 GMT 2024","128","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"passed","Tue Apr 23 02:42:42 GMT 2024","Tue Apr 23 02:42:47 GMT 2024","4966","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Tue Apr 23 02:42:02 GMT 2024","Tue Apr 23 02:42:02 GMT 2024","122","","API tests","","ProjectTest","GetProjectFromJSONTest","GetProjectFromJSONTest","Тест на получение данных о проекте по коду проекта из JSON файла
"
"passed","Tue Apr 23 02:42:38 GMT 2024","Tue Apr 23 02:42:42 GMT 2024","4749","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Tue Apr 23 02:42:17 GMT 2024","Tue Apr 23 02:42:23 GMT 2024","5953","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
