"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 02:38:21 GMT 2024","Tue Apr 23 02:38:21 GMT 2024","99","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"failed","Tue Apr 23 02:38:30 GMT 2024","Tue Apr 23 02:38:30 GMT 2024","194","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Tue Apr 23 02:38:20 GMT 2024","Tue Apr 23 02:38:21 GMT 2024","675","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"failed","Tue Apr 23 02:38:30 GMT 2024","Tue Apr 23 02:38:31 GMT 2024","225","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"failed","Tue Apr 23 02:38:30 GMT 2024","Tue Apr 23 02:38:30 GMT 2024","210","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Tue Apr 23 02:38:21 GMT 2024","Tue Apr 23 02:38:21 GMT 2024","176","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
"failed","Tue Apr 23 02:38:31 GMT 2024","Tue Apr 23 02:38:31 GMT 2024","253","","","","LoginTest","IncorrectLoginFailureTest","IncorrectLoginFailureTest","Тест воспроизводящий любой дефект
"
"failed","Tue Apr 23 02:38:31 GMT 2024","Tue Apr 23 02:38:31 GMT 2024","201","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Tue Apr 23 02:38:22 GMT 2024","Tue Apr 23 02:38:22 GMT 2024","82","","API tests","","ProjectTest","GetProjectFromJSONTest","GetProjectFromJSONTest","Тест на получение данных о проекте по коду проекта из JSON файла
"
"failed","Tue Apr 23 02:38:22 GMT 2024","Tue Apr 23 02:38:30 GMT 2024","7776","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"failed","Tue Apr 23 02:38:30 GMT 2024","Tue Apr 23 02:38:30 GMT 2024","198","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","123Тест на отображении подсказки при наведении курсора
"
"passed","Tue Apr 23 02:38:22 GMT 2024","Tue Apr 23 02:38:22 GMT 2024","77","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"failed","Tue Apr 23 02:38:30 GMT 2024","Tue Apr 23 02:38:30 GMT 2024","220","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Tue Apr 23 02:38:22 GMT 2024","Tue Apr 23 02:38:22 GMT 2024","82","","API tests","","ProjectTest","GetProjectByIncorrectCodeTest","GetProjectByIncorrectCodeTest","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Tue Apr 23 02:38:21 GMT 2024","Tue Apr 23 02:38:22 GMT 2024","248","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Tue Apr 23 02:38:21 GMT 2024","Tue Apr 23 02:38:21 GMT 2024","87","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
